topic,category,pattern,pattern_type,notes
"US Military Strikes against Iran",geo,"(us|american|u\.s\.).*(strike|attack|military action|bomb|airstrike).*iran|iran.*struck by\s+(us|america)",regex,"actor + verb + target"
"US-Iran Ceasefire and Peace Deal",geo,"(us|usa|america).*iran.*(ceasefire|peace deal|peace agreement|diplomatic)|iran.*(us|usa).*(ceasefire|peace deal|peace agreement)",regex,
"Khamenei Out as Supreme Leader",geo,khamenei,keyword,"single-entity anchor"
"Iranian Regime Collapse",geo,"iran(ian)?\s+(regime|government|leadership).*(fall|collapse|change|topple)|fall\s+of.*iran",regex,
"Strait of Hormuz Normalization",geo,hormuz,keyword,"single-entity anchor"
"Israel-Hezbollah Ceasefire Extension",geo,"(israel.*hezbollah|hezbollah.*israel).*(ceasefire|truce)",regex,
"Israel Withdrawal from Lebanon",geo,"israel(i)?.*(withdraw|leave|pull out|exit).*lebanon|lebanon.*israel(i)?.*(withdraw|exit)",regex,
"US Seizure of Enriched Uranium",geo,"(us|usa|american).*(seiz|obtain|capture|takes).*enriched\s+uranium|enriched\s+uranium.*(seized|obtained|captured)",regex,
"Trump-Xi Beijing Summit",geo,"(trump.*xi|xi.*trump).*(beijing|summit|meet|meeting)",regex,
"China Invasion of Taiwan",geo,"china.*(invade|invasion|invading).*taiwan|taiwan.*(invaded|invasion).*china",regex,
"Tamil Nadu Legislative Assembly Election",geo,tamil nadu,keyword,
"2026 Seoul Mayoral Election",geo,"seoul.*mayor|2026.*seoul.*election",regex,"overrides existing mayoral-race exclude"
"Keir Starmer Ouster",geo,starmer,keyword,"single-entity anchor"
"UK Local Elections (Most Seats)",geo,"(uk|united kingdom|british).*local\s+election|2026.*uk.*local",regex,
"Next French Presidential Election",geo,"(2027|next)?.*french\s+presidential\s+election|france.*presidential.*election",regex,
"Ukraine-Russia Peace Deal",geo,"(ukraine\s*[x×]?\s*russia|russia\s*[x×]?\s*ukraine).*(peace deal|peace agreement|ceasefire|truce)",regex,
"Brazil Presidential Election",geo,"brazil(ian)?.*(presidential|president).*election|2026.*brazil.*election",regex,
"Colombia Presidential Election",geo,"colombia(n)?.*(presidential|president).*election|2026.*colombia.*election",regex,
"Venezuela Leadership",geo,"venezuela(n)?\s+(leader|leadership|president|regime)|maduro\s+(out|removed|resign)",regex,
"Cuba Regime Change",geo,"cuba(n)?.*(regime|government|leadership).*change|cuba.*(diaz-canel|raul castro)",regex,"typo fix: was Cube"
"Bolivia Election Runoff",geo,"bolivia(n)?.*(election|runoff|presidential)",regex,
"Peru Election Specifics",geo,"peru(vian)?.*(election|presidential)",regex,
